,statisticcat_desc,state_alpha,year,class_desc,short_desc,group_desc,commodity_desc,Value
0,AREA HARVESTED,CA,2022.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,19000
1,AREA HARVESTED,CA,2021.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,13000
2,AREA HARVESTED,CA,2020.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,33000
3,AREA HARVESTED,CA,2019.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,47000
4,AREA HARVESTED,CA,2018.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,26000
5,AREA HARVESTED,CA,2017.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,29000
6,AREA HARVESTED,CA,2016.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,60000
7,AREA HARVESTED,CA,2015.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,29000
8,AREA HARVESTED,CA,2014.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,25000
9,AREA HARVESTED,CA,2013.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,42000
10,AREA HARVESTED,CA,2012.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,80000
11,AREA HARVESTED,CA,2011.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,75000
12,AREA HARVESTED,CA,2010.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,75000
13,AREA HARVESTED,CA,2009.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,55000
14,AREA HARVESTED,CA,2008.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,60000
15,AREA HARVESTED,CA,2007.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,40000
16,AREA HARVESTED,CA,2006.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,65000
17,AREA HARVESTED,CA,2005.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,60000
18,AREA HARVESTED,CA,2004.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,75000
19,AREA HARVESTED,CA,2003.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,58000
20,AREA HARVESTED,CA,2002.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,75000
21,AREA HARVESTED,CA,2001.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,110000
